   2.0368674e+00   2.0364057e+00   2.0364397e+00   2.0368446e+00   2.0358898e+00   2.0371584e+00   2.0352180e+00   2.0373476e+00   2.0344247e+00   2.0374126e+00   2.0343397e+00   2.0373536e+00   2.0351551e+00   2.0371712e+00   2.0358444e+00   2.0368657e+00   2.0364080e+00   2.0364375e+00   2.0368463e+00   2.0358870e+00   2.0371596e+00   2.0352146e+00   2.0373482e+00   2.0344208e+00   2.0374126e+00   2.0343438e+00   2.0373531e+00   2.0351586e+00   2.0371701e+00   2.0358473e+00   2.0368640e+00   2.0364103e+00
   2.1410323e+00   2.1392364e+00   2.1398884e+00   2.1409190e+00   2.1379750e+00   2.1406020e+00   2.1404696e+00   2.1382606e+00   2.1409754e+00   2.1396860e+00   2.1394668e+00   2.1410103e+00   2.1385701e+00   2.1403304e+00   2.1407084e+00   2.1376217e+00   2.1408531e+00   2.1400714e+00   2.1389790e+00   2.1410366e+00   2.1391013e+00   2.1399930e+00   2.1408824e+00   2.1377999e+00   2.1406653e+00   2.1403925e+00   2.1384249e+00   2.1409976e+00   2.1395685e+00   2.1395895e+00   2.1409916e+00   2.1384125e+00
   2.2411535e+00   2.2428643e+00   2.2430460e+00   2.2417154e+00   2.2397186e+00   2.2422004e+00   2.2431452e+00   2.2425692e+00   2.2404896e+00   2.2411516e+00   2.2428635e+00   2.2430465e+00   2.2417170e+00   2.2397161e+00   2.2421991e+00   2.2431450e+00   2.2425702e+00   2.2404918e+00   2.2411497e+00   2.2428628e+00   2.2430469e+00   2.2417186e+00   2.2397136e+00   2.2421977e+00   2.2431449e+00   2.2425712e+00   2.2404939e+00   2.2411478e+00   2.2428621e+00   2.2430473e+00   2.2417202e+00   2.2397111e+00
   2.3434678e+00   2.3428815e+00   2.3420389e+00   2.3409412e+00   2.3401041e+00   2.3413817e+00   2.3423946e+00   2.3431439e+00   2.3436306e+00   2.3438559e+00   2.3438211e+00   2.3435273e+00   2.3429757e+00   2.3421676e+00   2.3411043e+00   2.3399112e+00   2.3412247e+00   2.3422732e+00   2.3430580e+00   2.3435801e+00   2.3438407e+00   2.3438410e+00   2.3435821e+00   2.3430652e+00   2.3422917e+00   2.3412627e+00   2.3399797e+00   2.3410628e+00   2.3421471e+00   2.3429674e+00   2.3435249e+00   2.3438208e+00
   2.4411878e+00   2.4415303e+00   2.4418424e+00   2.4421240e+00   2.4423749e+00   2.4425953e+00   2.4427850e+00   2.4429440e+00   2.4430722e+00   2.4431696e+00   2.4432362e+00   2.4432718e+00   2.4432764e+00   2.4432500e+00   2.4431925e+00   2.4431039e+00   2.4429842e+00   2.4428332e+00   2.4426509e+00   2.4424374e+00   2.4421924e+00   2.4419161e+00   2.4416083e+00   2.4412690e+00   2.4408981e+00   2.4404957e+00   2.4400616e+00   2.4395958e+00   2.4390983e+00   2.4395434e+00   2.4400053e+00   2.4404371e+00
   2.5380445e+00   2.5398555e+00   2.5409897e+00   2.5414415e+00   2.5412056e+00   2.5402768e+00   2.5386500e+00   2.5377458e+00   2.5396486e+00   2.5408753e+00   2.5414203e+00   2.5412784e+00   2.5404442e+00   2.5389128e+00   2.5374347e+00   2.5394291e+00   2.5407482e+00   2.5413864e+00   2.5413383e+00   2.5405987e+00   2.5391625e+00   2.5371112e+00   2.5391971e+00   2.5406085e+00   2.5413397e+00   2.5413854e+00   2.5407403e+00   2.5393992e+00   2.5373573e+00   2.5389526e+00   2.5404562e+00   2.5412804e+00
   2.6382588e+00   2.6362638e+00   2.6353717e+00   2.6379214e+00   2.6383731e+00   2.6366980e+00   2.6348130e+00   2.6376733e+00   2.6384401e+00   2.6370842e+00   2.6342083e+00   2.6373786e+00   2.6384597e+00   2.6374224e+00   2.6342388e+00   2.6370372e+00   2.6384321e+00   2.6377129e+00   2.6348514e+00   2.6366495e+00   2.6383574e+00   2.6379556e+00   2.6354156e+00   2.6362154e+00   2.6382357e+00   2.6381507e+00   2.6359316e+00   2.6357350e+00   2.6380671e+00   2.6382982e+00   2.6363994e+00   2.6352085e+00
   2.7342401e+00   2.7310431e+00   2.7332105e+00   2.7342316e+00   2.7310007e+00   2.7332351e+00   2.7342229e+00   2.7309580e+00   2.7332593e+00   2.7342138e+00   2.7309151e+00   2.7332833e+00   2.7342046e+00   2.7308719e+00   2.7333071e+00   2.7341950e+00   2.7308284e+00   2.7333305e+00   2.7341852e+00   2.7307847e+00   2.7333538e+00   2.7341751e+00   2.7307406e+00   2.7333767e+00   2.7341647e+00   2.7306964e+00   2.7333994e+00   2.7341541e+00   2.7306518e+00   2.7334219e+00   2.7341432e+00   2.7306070e+00
   2.8277121e+00   2.8288562e+00   2.8254996e+00   2.8292392e+00   2.8260327e+00   2.8286368e+00   2.8280665e+00   2.8270586e+00   2.8291000e+00   2.8245141e+00   2.8291424e+00   2.8268471e+00   2.8282026e+00   2.8285352e+00   2.8262903e+00   2.8292261e+00   2.8251957e+00   2.8289289e+00   2.8275421e+00   2.8276529e+00   2.8288855e+00   2.8254076e+00   2.8292348e+00   2.8261182e+00   2.8285992e+00   2.8281179e+00   2.8269880e+00   2.8291177e+00   2.8244110e+00   2.8291265e+00   2.8269208e+00   2.8281536e+00
   2.9229587e+00   2.9198184e+00   2.9229470e+00   2.9198678e+00   2.9229349e+00   2.9199168e+00   2.9229225e+00   2.9199654e+00   2.9229096e+00   2.9200136e+00   2.9228964e+00   2.9200615e+00   2.9228828e+00   2.9201090e+00   2.9228688e+00   2.9201562e+00   2.9228544e+00   2.9202029e+00   2.9228397e+00   2.9202494e+00   2.9228245e+00   2.9202954e+00   2.9228090e+00   2.9203411e+00   2.9227931e+00   2.9203864e+00   2.9227769e+00   2.9204313e+00   2.9227602e+00   2.9204759e+00   2.9227432e+00   2.9205201e+00
