  -8.0000000e+00  -7.8400000e+00  -7.6800000e+00  -7.5200000e+00  -7.3600000e+00  -7.2000000e+00  -7.0400000e+00  -6.8800000e+00  -6.7200000e+00  -6.5600000e+00  -6.4000000e+00  -6.2400000e+00  -6.0800000e+00  -5.9200000e+00  -5.7600000e+00  -5.6000000e+00  -5.4400000e+00  -5.2800000e+00  -5.1200000e+00  -4.9600000e+00  -4.8000000e+00  -4.6400000e+00  -4.4800000e+00  -4.3200000e+00  -4.1600000e+00  -4.0000000e+00  -3.8400000e+00  -3.6800000e+00  -3.5200000e+00  -3.3600000e+00  -3.2000000e+00  -3.0400000e+00  -2.8800000e+00  -2.7200000e+00  -2.5600000e+00  -2.4000000e+00  -2.2400000e+00  -2.0800000e+00  -1.9200000e+00  -1.7600000e+00  -1.6000000e+00  -1.4400000e+00  -1.2800000e+00  -1.1200000e+00  -9.6000000e-01  -8.0000000e-01  -6.4000000e-01  -4.8000000e-01  -3.2000000e-01  -1.6000000e-01   0.0000000e+00   1.6000000e-01   3.2000000e-01   4.8000000e-01   6.4000000e-01   8.0000000e-01   9.6000000e-01   1.1200000e+00   1.2800000e+00   1.4400000e+00   1.6000000e+00   1.7600000e+00   1.9200000e+00   2.0800000e+00   2.2400000e+00   2.4000000e+00   2.5600000e+00   2.7200000e+00   2.8800000e+00   3.0400000e+00   3.2000000e+00   3.3600000e+00   3.5200000e+00   3.6800000e+00   3.8400000e+00   4.0000000e+00   4.1600000e+00   4.3200000e+00   4.4800000e+00   4.6400000e+00   4.8000000e+00   4.9600000e+00   5.1200000e+00   5.2800000e+00   5.4400000e+00   5.6000000e+00   5.7600000e+00   5.9200000e+00   6.0800000e+00   6.2400000e+00   6.4000000e+00   6.5600000e+00   6.7200000e+00   6.8800000e+00   7.0400000e+00   7.2000000e+00   7.3600000e+00   7.5200000e+00   7.6800000e+00   7.8400000e+00
  -7.2680934e+00  -7.1233999e+00  -6.9787065e+00  -6.8340131e+00  -6.6893197e+00  -6.5446265e+00  -6.3999334e+00  -6.2552403e+00  -6.1105475e+00  -5.9658548e+00  -5.8211622e+00  -5.6764699e+00  -5.5317778e+00  -5.3870859e+00  -5.2423942e+00  -5.0977029e+00  -4.9530118e+00  -4.8083210e+00  -4.6636306e+00  -4.5189405e+00  -4.3742508e+00  -4.2295614e+00  -4.0848725e+00  -3.9401839e+00  -3.7954958e+00  -3.6508082e+00  -3.5061210e+00  -3.3614343e+00  -3.2167482e+00  -3.0720625e+00  -2.9273774e+00  -2.7826929e+00  -2.6380090e+00  -2.4933256e+00  -2.3486429e+00  -2.2039608e+00  -2.0592794e+00  -1.9145987e+00  -1.7699186e+00  -1.6252393e+00  -1.4805607e+00  -1.3358828e+00  -1.1912058e+00  -1.0465295e+00  -9.0185399e-01  -7.5717932e-01  -6.1250550e-01  -4.6783254e-01  -3.2316047e-01  -1.7848928e-01  -3.3819021e-02   1.1085031e-01   2.5551868e-01   4.0018609e-01   5.4485250e-01   6.8951790e-01   8.3418228e-01   9.7884561e-01   1.1235079e+00   1.2681691e+00   1.4128291e+00   1.5574881e+00   1.7021459e+00   1.8468026e+00   1.9914581e+00   2.1361124e+00   2.2807655e+00   2.4254173e+00   2.5700679e+00   2.7147173e+00   2.8593653e+00   3.0040121e+00   3.1486575e+00   3.2933016e+00   3.4379443e+00   3.5825857e+00   3.7272256e+00   3.8718642e+00   4.0165013e+00   4.1611369e+00   4.3057711e+00   4.4504038e+00   4.5950350e+00   4.7396646e+00   4.8842928e+00   5.0289193e+00   5.1735443e+00   5.3181677e+00   5.4627894e+00   5.6074095e+00   5.7520280e+00   5.8966448e+00   6.0412599e+00   6.1858733e+00   6.3304849e+00   6.4750948e+00   6.6197030e+00   6.7643093e+00   6.9089139e+00   7.0535166e+00
  -6.5952622e+00  -6.4644313e+00  -6.3336023e+00  -6.2027752e+00  -6.0719503e+00  -5.9411274e+00  -5.8103066e+00  -5.6794880e+00  -5.5486715e+00  -5.4178574e+00  -5.2870456e+00  -5.1562361e+00  -5.0254290e+00  -4.8946243e+00  -4.7638222e+00  -4.6330226e+00  -4.5022256e+00  -4.3714313e+00  -4.2406397e+00  -4.1098508e+00  -3.9790648e+00  -3.8482817e+00  -3.7175015e+00  -3.5867243e+00  -3.4559501e+00  -3.3251791e+00  -3.1944113e+00  -3.0636467e+00  -2.9328854e+00  -2.8021275e+00  -2.6713731e+00  -2.5406222e+00  -2.4098749e+00  -2.2791313e+00  -2.1483914e+00  -2.0176553e+00  -1.8869232e+00  -1.7561950e+00  -1.6254710e+00  -1.4947510e+00  -1.3640353e+00  -1.2333240e+00  -1.1026170e+00  -9.7191462e-01  -8.4121680e-01  -7.1052369e-01  -5.7983538e-01  -4.4915199e-01  -3.1847360e-01  -1.8780033e-01  -5.7132281e-02   7.3530429e-02   2.0418769e-01   3.3483938e-01   4.6548539e-01   5.9612559e-01   7.2675986e-01   8.5738807e-01   9.8801009e-01   1.1186258e+00   1.2492350e+00   1.3798377e+00   1.5104336e+00   1.6410226e+00   1.7716046e+00   1.9021794e+00   2.0327468e+00   2.1633068e+00   2.2938591e+00   2.4244035e+00   2.5549400e+00   2.6854683e+00   2.8159882e+00   2.9464996e+00   3.0770023e+00   3.2074960e+00   3.3379807e+00   3.4684561e+00   3.5989219e+00   3.7293780e+00   3.8598242e+00   3.9902603e+00   4.1206860e+00   4.2511011e+00   4.3815053e+00   4.5118985e+00   4.6422804e+00   4.7726508e+00   4.9030093e+00   5.0333558e+00   5.1636900e+00   5.2940115e+00   5.4243202e+00   5.5546158e+00   5.6848978e+00   5.8151662e+00   5.9454205e+00   6.0756605e+00   6.2058858e+00   6.3360962e+00
  -5.9794439e+00  -5.8612011e+00  -5.7429615e+00  -5.6247254e+00  -5.5064928e+00  -5.3882637e+00  -5.2700384e+00  -5.1518168e+00  -5.0335990e+00  -4.9153852e+00  -4.7971755e+00  -4.6789698e+00  -4.5607685e+00  -4.4425715e+00  -4.3243790e+00  -4.2061911e+00  -4.0880078e+00  -3.9698294e+00  -3.8516559e+00  -3.7334875e+00  -3.6153243e+00  -3.4971664e+00  -3.3790140e+00  -3.2608672e+00  -3.1427262e+00  -3.0245910e+00  -2.9064619e+00  -2.7883390e+00  -2.6702225e+00  -2.5521125e+00  -2.4340093e+00  -2.3159130e+00  -2.1978237e+00  -2.0797417e+00  -1.9616672e+00  -1.8436003e+00  -1.7255413e+00  -1.6074904e+00  -1.4894478e+00  -1.3714137e+00  -1.2533883e+00  -1.1353720e+00  -1.0173650e+00  -8.9936740e-01  -7.8137961e-01  -6.6340185e-01  -5.4543443e-01  -4.2747761e-01  -3.0953170e-01  -1.9159701e-01  -7.3673846e-02   4.4237454e-02   1.6213656e-01   2.8002311e-01   3.9789677e-01   5.1575715e-01   6.3360387e-01   7.5143654e-01   8.6925475e-01   9.8705808e-01   1.1048461e+00   1.2226184e+00   1.3403744e+00   1.4581137e+00   1.5758359e+00   1.6935403e+00   1.8112266e+00   1.9288940e+00   2.0465422e+00   2.1641704e+00   2.2817782e+00   2.3993648e+00   2.5169297e+00   2.6344722e+00   2.7519917e+00   2.8694873e+00   2.9869585e+00   3.1044044e+00   3.2218243e+00   3.3392174e+00   3.4565829e+00   3.5739199e+00   3.6912275e+00   3.8085049e+00   3.9257512e+00   4.0429652e+00   4.1601462e+00   4.2772929e+00   4.3944045e+00   4.5114797e+00   4.6285174e+00   4.7455165e+00   4.8624758e+00   4.9793940e+00   5.0962698e+00   5.2131019e+00   5.3298890e+00   5.4466295e+00   5.5633221e+00   5.6799652e+00
  -5.4153991e+00  -5.3086298e+00  -5.2018646e+00  -5.0951036e+00  -4.9883471e+00  -4.8815952e+00  -4.7748478e+00  -4.6681053e+00  -4.5613677e+00  -4.4546351e+00  -4.3479078e+00  -4.2411858e+00  -4.1344693e+00  -4.0277585e+00  -3.9210535e+00  -3.8143546e+00  -3.7076618e+00  -3.6009754e+00  -3.4942956e+00  -3.3876225e+00  -3.2809564e+00  -3.1742974e+00  -3.0676458e+00  -2.9610019e+00  -2.8543658e+00  -2.7477377e+00  -2.6411180e+00  -2.5345069e+00  -2.4279047e+00  -2.3213116e+00  -2.2147279e+00  -2.1081539e+00  -2.0015900e+00  -1.8950365e+00  -1.7884936e+00  -1.6819617e+00  -1.5754413e+00  -1.4689326e+00  -1.3624360e+00  -1.2559520e+00  -1.1494810e+00  -1.0430233e+00  -9.3657947e-01  -8.3014992e-01  -7.2373514e-01  -6.1733564e-01  -5.1095192e-01  -4.0458452e-01  -2.9823401e-01  -1.9190095e-01  -8.5585950e-02   2.0710363e-02   1.2698734e-01   2.3324432e-01   3.3948058e-01   4.4569541e-01   5.5188805e-01   6.5805772e-01   7.6420359e-01   8.7032481e-01   9.7642052e-01   1.0824898e+00   1.1885316e+00   1.2945451e+00   1.4005292e+00   1.5064827e+00   1.6124046e+00   1.7182938e+00   1.8241490e+00   1.9299689e+00   2.0357523e+00   2.1414978e+00   2.2472040e+00   2.3528693e+00   2.4584923e+00   2.5640714e+00   2.6696049e+00   2.7750911e+00   2.8805281e+00   2.9859141e+00   3.0912472e+00   3.1965253e+00   3.3017462e+00   3.4069079e+00   3.5120079e+00   3.6170439e+00   3.7220135e+00   3.8269139e+00   3.9317426e+00   4.0364966e+00   4.1411731e+00   4.2457690e+00   4.3502812e+00   4.4547062e+00   4.5590407e+00   4.6632810e+00   4.7674235e+00   4.8714642e+00   4.9753990e+00   5.0792236e+00
  -4.8973025e+00  -4.8010334e+00  -4.7047689e+00  -4.6085093e+00  -4.5122546e+00  -4.4160050e+00  -4.3197607e+00  -4.2235218e+00  -4.1272885e+00  -4.0310609e+00  -3.9348392e+00  -3.8386237e+00  -3.7424145e+00  -3.6462117e+00  -3.5500157e+00  -3.4538267e+00  -3.3576447e+00  -3.2614702e+00  -3.1653033e+00  -3.0691443e+00  -2.9729934e+00  -2.8768509e+00  -2.7807171e+00  -2.6845923e+00  -2.5884768e+00  -2.4923709e+00  -2.3962750e+00  -2.3001893e+00  -2.2041142e+00  -2.1080502e+00  -2.0119975e+00  -1.9159567e+00  -1.8199281e+00  -1.7239121e+00  -1.6279092e+00  -1.5319200e+00  -1.4359448e+00  -1.3399842e+00  -1.2440387e+00  -1.1481090e+00  -1.0521955e+00  -9.5629892e-01  -8.6041986e-01  -7.6455900e-01  -6.6871703e-01  -5.7289467e-01  -4.7709267e-01  -3.8131183e-01  -2.8555297e-01  -1.8981695e-01  -9.4104671e-02   1.5829322e-03   9.7244877e-02   1.9288014e-01   2.8848764e-01   3.8406627e-01   4.7961485e-01   5.7513216e-01   6.7061691e-01   7.6606777e-01   8.6148333e-01   9.5686214e-01   1.0522026e+00   1.1475032e+00   1.2427623e+00   1.3379780e+00   1.4331485e+00   1.5282718e+00   1.6233461e+00   1.7183691e+00   1.8133387e+00   1.9082524e+00   2.0031080e+00   2.0979028e+00   2.1926342e+00   2.2872993e+00   2.3818954e+00   2.4764191e+00   2.5708675e+00   2.6652370e+00   2.7595242e+00   2.8537253e+00   2.9478364e+00   3.0418535e+00   3.1357723e+00   3.2295882e+00   3.3232967e+00   3.4168927e+00   3.5103710e+00   3.6037263e+00   3.6969528e+00   3.7900446e+00   3.8829953e+00   3.9757984e+00   4.0684470e+00   4.1609338e+00   4.2532512e+00   4.3453912e+00   4.4373454e+00   4.5291051e+00
  -4.4195202e+00  -4.3329027e+00  -4.2462903e+00  -4.1596829e+00  -4.0730808e+00  -3.9864841e+00  -3.8998931e+00  -3.8133078e+00  -3.7267285e+00  -3.6401553e+00  -3.5535886e+00  -3.4670284e+00  -3.3804749e+00  -3.2939285e+00  -3.2073893e+00  -3.1208577e+00  -3.0343337e+00  -2.9478178e+00  -2.8613102e+00  -2.7748111e+00  -2.6883209e+00  -2.6018399e+00  -2.5153685e+00  -2.4289069e+00  -2.3424554e+00  -2.2560146e+00  -2.1695848e+00  -2.0831663e+00  -1.9967596e+00  -1.9103652e+00  -1.8239834e+00  -1.7376149e+00  -1.6512600e+00  -1.5649194e+00  -1.4785935e+00  -1.3922830e+00  -1.3059884e+00  -1.2197104e+00  -1.1334496e+00  -1.0472068e+00  -9.6098258e-01  -8.7477782e-01  -7.8859327e-01  -7.0242977e-01  -6.1628818e-01  -5.3016944e-01  -4.4407449e-01  -3.5800434e-01  -2.7196006e-01  -1.8594275e-01  -9.9953576e-02  -1.3993757e-02   7.1935421e-02   1.5783261e-01   2.4369640e-01   3.2952531e-01   4.1531776e-01   5.0107213e-01   5.8678668e-01   6.7245960e-01   7.5808899e-01   8.4367283e-01   9.2920903e-01   1.0146954e+00   1.1001295e+00   1.1855090e+00   1.2708312e+00   1.3560935e+00   1.4412929e+00   1.5264265e+00   1.6114911e+00   1.6964832e+00   1.7813995e+00   1.8662362e+00   1.9509893e+00   2.0356548e+00   2.1202282e+00   2.2047051e+00   2.2890805e+00   2.3733494e+00   2.4575063e+00   2.5415457e+00   2.6254615e+00   2.7092475e+00   2.7928968e+00   2.8764027e+00   2.9597575e+00   3.0429536e+00   3.1259826e+00   3.2088359e+00   3.2915042e+00   3.3739778e+00   3.4562465e+00   3.5382995e+00   3.6201254e+00   3.7017120e+00   3.7830468e+00   3.8641162e+00   3.9449061e+00   4.0254014e+00
  -3.9768467e+00  -3.8991428e+00  -3.8214440e+00  -3.7437504e+00  -3.6660623e+00  -3.5883798e+00  -3.5107031e+00  -3.4330323e+00  -3.3553677e+00  -3.2777095e+00  -3.2000579e+00  -3.1224131e+00  -3.0447754e+00  -2.9671449e+00  -2.8895220e+00  -2.8119068e+00  -2.7342997e+00  -2.6567010e+00  -2.5791109e+00  -2.5015297e+00  -2.4239579e+00  -2.3463957e+00  -2.2688434e+00  -2.1913015e+00  -2.1137703e+00  -2.0362503e+00  -1.9587419e+00  -1.8812454e+00  -1.8037614e+00  -1.7262904e+00  -1.6488329e+00  -1.5713893e+00  -1.4939604e+00  -1.4165466e+00  -1.3391485e+00  -1.2617669e+00  -1.1844024e+00  -1.1070557e+00  -1.0297276e+00  -9.5241876e-01  -8.7513014e-01  -7.9786256e-01  -7.2061694e-01  -6.4339422e-01  -5.6619543e-01  -4.8902162e-01  -4.1187390e-01  -3.3475346e-01  -2.5766153e-01  -1.8059941e-01  -1.0356848e-01  -2.6570180e-02   5.0393966e-02   1.2732235e-01   2.0421328e-01   2.8106497e-01   3.5787554e-01   4.3464299e-01   5.1136523e-01   5.8804005e-01   6.6466510e-01   7.4123792e-01   8.1775590e-01   8.9421628e-01   9.7061614e-01   1.0469524e+00   1.1232219e+00   1.1994210e+00   1.2755462e+00   1.3515937e+00   1.4275592e+00   1.5034387e+00   1.5792274e+00   1.6549205e+00   1.7305130e+00   1.8059993e+00   1.8813738e+00   1.9566305e+00   2.0317628e+00   2.1067639e+00   2.1816266e+00   2.2563432e+00   2.3309057e+00   2.4053054e+00   2.4795331e+00   2.5535792e+00   2.6274335e+00   2.7010850e+00   2.7745222e+00   2.8477329e+00   2.9207040e+00   2.9934218e+00   3.0658717e+00   3.1380382e+00   3.2099048e+00   3.2814540e+00   3.3526674e+00   3.4235253e+00   3.4940070e+00   3.5640902e+00
  -3.5645701e+00  -3.4951395e+00  -3.4257141e+00  -3.3562940e+00  -3.2868794e+00  -3.2174704e+00  -3.1480673e+00  -3.0786702e+00  -3.0092794e+00  -2.9398950e+00  -2.8705172e+00  -2.8011464e+00  -2.7317826e+00  -2.6624262e+00  -2.5930775e+00  -2.5237366e+00  -2.4544040e+00  -2.3850798e+00  -2.3157643e+00  -2.2464580e+00  -2.1771611e+00  -2.1078740e+00  -2.0385971e+00  -1.9693307e+00  -1.9000752e+00  -1.8308311e+00  -1.7615988e+00  -1.6923788e+00  -1.6231716e+00  -1.5539776e+00  -1.4847975e+00  -1.4156317e+00  -1.3464810e+00  -1.2773458e+00  -1.2082268e+00  -1.1391248e+00  -1.0700405e+00  -1.0009746e+00  -9.3192793e-01  -8.6290133e-01  -7.9389568e-01  -7.2491193e-01  -6.5595106e-01  -5.8701411e-01  -5.1810218e-01  -4.4921642e-01  -3.8035805e-01  -3.1152837e-01  -2.4272872e-01  -1.7396055e-01  -1.0522538e-01  -3.6524792e-02   3.2139507e-02   1.0076573e-01   1.6935198e-01   2.3789625e-01   3.0639644e-01   3.7485028e-01   4.4325541e-01   5.1160930e-01   5.7990930e-01   6.4815257e-01   7.1633613e-01   7.8445679e-01   8.5251119e-01   9.2049575e-01   9.8840669e-01   1.0562400e+00   1.1239914e+00   1.1916563e+00   1.2592299e+00   1.3267072e+00   1.3940826e+00   1.4613505e+00   1.5285046e+00   1.5955384e+00   1.6624450e+00   1.7292171e+00   1.7958467e+00   1.8623255e+00   1.9286446e+00   1.9947946e+00   2.0607653e+00   2.1265462e+00   2.1921257e+00   2.2574917e+00   2.3226314e+00   2.3875308e+00   2.4521754e+00   2.5165496e+00   2.5806367e+00   2.6444190e+00   2.7078776e+00   2.7709925e+00   2.8337422e+00   2.8961040e+00   2.9580536e+00   3.0195652e+00   3.0806112e+00   3.1411624e+00
  -3.1784785e+00  -3.1167680e+00  -3.0550626e+00  -2.9933625e+00  -2.9316678e+00  -2.8699787e+00  -2.8082954e+00  -2.7466181e+00  -2.6849469e+00  -2.6232822e+00  -2.5616240e+00  -2.4999727e+00  -2.4383284e+00  -2.3766914e+00  -2.3150620e+00  -2.2534404e+00  -2.1918269e+00  -2.1302219e+00  -2.0686256e+00  -2.0070383e+00  -1.9454603e+00  -1.8838922e+00  -1.8223341e+00  -1.7607865e+00  -1.6992498e+00  -1.6377244e+00  -1.5762108e+00  -1.5147095e+00  -1.4532209e+00  -1.3917456e+00  -1.3302840e+00  -1.2688369e+00  -1.2074047e+00  -1.1459882e+00  -1.0845880e+00  -1.0232047e+00  -9.6183921e-01  -9.0049223e-01  -8.3916460e-01  -7.7785718e-01  -7.1657090e-01  -6.5530672e-01  -5.9406566e-01  -5.3284881e-01  -4.7165731e-01  -4.1049235e-01  -3.4935522e-01  -2.8824727e-01  -2.2716991e-01  -1.6612466e-01  -1.0511311e-01  -4.4136964e-02   1.6801993e-02   7.7701859e-02   1.3856062e-01   1.9937614e-01   2.6014615e-01   3.2086824e-01   3.8153987e-01   4.4215831e-01   5.0272070e-01   5.6322396e-01   6.2366484e-01   6.8403989e-01   7.4434543e-01   8.0457753e-01   8.6473203e-01   9.2480451e-01   9.8479023e-01   1.0446842e+00   1.1044810e+00   1.1641749e+00   1.2237599e+00   1.2832295e+00   1.3425768e+00   1.4017944e+00   1.4608743e+00   1.5198083e+00   1.5785874e+00   1.6372019e+00   1.6956418e+00   1.7538960e+00   1.8119530e+00   1.8698003e+00   1.9274246e+00   1.9848117e+00   2.0419466e+00   2.0988129e+00   2.1553935e+00   2.2116698e+00   2.2676221e+00   2.3232292e+00   2.3784687e+00   2.4333165e+00   2.4877468e+00   2.5417321e+00   2.5952430e+00   2.6482483e+00   2.7007145e+00   2.7526057e+00
